"","year","state","event_type","fscale","total_economic_cost","lat","lng","casualties"
"410",1996,"IA","TORNADO",0,0,42.46,-91.54,0
"411",1996,"IA","TORNADO",0,0,42.26,-90.56,0
"412",1996,"IA","TORNADO",0,0,42.16,-92.05,0
"413",1996,"IA","TORNADO",0,0,42.45,-96.36,0
"414",1996,"IA","TORNADO",0,0,41.52,-94.42,0
"415",1996,"IA","TORNADO",1,0.1,41.3,-95.27,0
"416",1996,"IA","TORNADO",0,5e-04,41.55,-94.22,0
"417",1996,"IA","TORNADO",0,0.0015,43.24,-92.18,0
"418",1996,"IA","TORNADO",0,0,41.51,-90.56,0
"419",1996,"KS","TORNADO",0,0,39.23,-96.23,0
"420",1996,"KS","TORNADO",0,0.05,39.56,-95.38,0
"421",1996,"KS","TORNADO",0,0,37.43,-98.57,0
"422",1996,"KS","TORNADO",0,0,39.25,-97.49,0
"423",1996,"KS","TORNADO",0,0,39.26,-97.49,0
"424",1996,"KS","TORNADO",0,0,39.57,-96.53,0
"425",1996,"KS","TORNADO",2,0.34,37.12,-100.56,0
"426",1996,"KS","TORNADO",0,0.002,37.23,-100.54,0
"427",1996,"KS","TORNADO",0,0.01,37.24,-100.54,0
"428",1996,"KS","TORNADO",2,0.1,37.24,-100.51,0
"429",1996,"KS","TORNADO",0,0.005,37.34,-100.45,0
"430",1996,"KS","TORNADO",2,0.34,39.34,-97.19,0
"431",1996,"KS","TORNADO",0,0.015,39.57,-96.47,0
"432",1996,"KS","TORNADO",1,0,37.55,-98.13,0
"433",1996,"KS","TORNADO",0,0,39.46,-96.39,0
"434",1996,"KS","TORNADO",1,0.12,39.5,-96.11,0
